Price,Beds,Baths,Living Space,City,State,County,City Average Household Income,Latitude,Longitude,Crime Rate,percent_bike,percent_car,percent_carpool,percent_home,percent_publictr,percent_total,percent_walk,Population,num_priv_schools,Total Enroll,K Enroll,G1 Enroll,G2 Enroll,G3 Enroll,G4 Enroll,G5 Enroll,G6 Enroll,G7 Enroll,G8 Enroll,G9 Enroll,G10 Enroll,G11 Enroll,G12 Enroll
779000.0,2,2,989,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
475000.0,1,1,711,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
2395000.0,3,4,2714,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
505000.0,1,1,670,Los Angeles,California,Los Angeles,121055.0,34.05939,-118.30909,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
5690000.0,30,66,40000,Los Angeles,California,Los Angeles,121055.0,34.04807,-118.29411,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
949000.0,4,2,3603,Los Angeles,California,Los Angeles,121055.0,34.04807,-118.29411,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
1499988.0,7,4,2838,Los Angeles,California,Los Angeles,121055.0,34.04807,-118.29411,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
529000.0,2,1,887,Los Angeles,California,Los Angeles,121055.0,34.04807,-118.29411,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
1149000.0,3,2,1718,Los Angeles,California,Los Angeles,121055.0,34.04807,-118.29411,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
1399500.0,4,4,2366,Los Angeles,California,Los Angeles,121055.0,34.02819,-118.28486,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
